,year,duration,popularity
583,1924,139293,0
584,1924,195667,0
585,1924,176107,0
586,1924,171347,0
587,1924,208240,1
588,1924,186040,0
589,1924,169333,0
590,1924,375307,0
591,1924,170253,0
592,1924,240693,0
593,1924,186667,0
594,1924,165880,0
595,1924,176373,0
596,1924,211040,0
597,1924,184840,0
598,1924,152387,0
599,1924,185267,0
600,1924,169173,0
601,1924,172107,0
602,1924,140840,0
603,1924,156267,0
604,1924,173360,0
605,1924,175733,0
606,1925,194320,37
607,1925,275773,30
608,1925,197787,30
609,1925,217253,29
610,1925,150160,22
611,1925,175920,24
612,1925,181293,26
613,1925,146267,20
614,1925,186960,23
615,1925,189787,22
616,1925,185747,20
617,1925,200840,15
618,1925,171800,13
619,1925,170533,11
620,1925,209987,14
621,1925,181933,10
622,1925,185840,14
623,1925,180960,13
624,1925,142893,8
625,1925,194627,7
626,1925,156000,6
627,1925,179333,6
628,1925,168400,6
629,1925,192027,7
630,1925,190120,9
631,1925,151600,5
632,1925,192627,6
633,1925,209000,10
634,1925,175067,5
635,1925,192893,8
636,1925,159933,4
637,1925,164107,5
638,1925,182773,5
639,1925,178293,6
640,1925,182400,3
641,1925,189440,5
642,1925,162600,4
643,1925,181320,5
644,1925,195067,6
645,1925,189827,5
646,1925,182227,4
647,1925,184707,5
648,1925,212533,4
649,1925,179667,3
650,1925,306013,3
651,1925,169560,4
652,1925,176947,4
653,1925,181467,5
654,1925,207893,5
655,1925,182200,4
656,1925,163133,2
657,1925,192360,5
658,1925,180013,3
659,1925,190560,4
660,1925,178787,5
661,1925,157533,4
662,1925,163640,3
663,1925,178040,3
664,1925,193840,4
665,1925,195093,5
666,1925,182120,4
667,1925,194227,3
668,1925,191827,3
669,1925,174400,2
670,1925,239133,2
671,1925,160373,3
672,1925,191173,2
673,1925,199880,2
674,1925,151960,3
675,1925,195320,3
676,1925,231653,2
677,1925,224573,2
678,1925,192107,3
679,1925,265880,2
680,1925,184213,2
681,1925,187014,2
682,1925,162227,3
683,1925,182933,3
684,1925,168467,2
685,1925,200907,2
686,1925,171627,3
687,1925,198840,3
688,1925,176267,3
689,1925,149160,2
690,1925,196000,2
691,1925,210613,3
692,1925,180813,3
693,1925,193187,3
694,1925,193627,3
695,1925,316867,4
696,1925,233187,2
697,1925,181893,3
698,1925,178907,3
699,1925,187942,3
700,1925,262373,2
701,1925,175693,3
702,1925,138680,2
703,1925,170806,2
704,1925,170480,3
705,1925,222133,2
706,1925,206920,2
707,1925,202027,3
708,1925,180400,4
709,1925,186178,0
710,1925,178422,0
711,1925,173227,0
712,1925,129293,0
713,1925,166467,0
714,1925,110440,0
715,1925,221572,0
716,1925,184720,0
717,1925,176565,0
718,1925,152653,0
719,1925,134000,0
720,1925,162200,0
721,1925,157160,0
722,1925,209493,1
723,1925,166147,0
724,1925,822857,0
725,1925,202760,0
726,1925,178253,0
727,1925,169827,1
728,1925,170120,0
729,1925,187253,0
730,1925,131720,0
731,1925,151208,0
732,1925,158360,1
733,1925,136067,0
734,1925,146200,0
735,1925,171547,0
736,1925,149747,0
737,1925,154960,0
738,1925,175507,1
739,1925,147733,0
740,1925,151600,0
741,1925,181187,0
742,1925,174427,0
743,1925,198933,1
744,1925,159680,0
745,1925,173760,1
746,1925,149133,0
747,1925,196867,0
748,1925,217261,0
749,1925,119096,0
750,1925,174667,0
751,1925,187133,1
752,1925,181600,1
753,1925,170173,0
754,1925,171533,0
755,1925,185307,1
756,1925,226639,0
757,1925,196027,0
758,1925,117533,0
759,1925,179067,0
760,1925,161080,0
761,1925,151760,0
762,1925,156773,0
763,1925,163147,0
764,1925,147227,0
765,1925,135200,0
766,1925,160867,0
767,1925,228416,0
768,1925,179827,0
769,1925,148701,0
770,1925,209533,1
771,1925,190000,1
772,1925,243854,0
773,1925,170333,0
774,1925,204573,1
775,1925,188631,0
776,1925,164387,0
777,1925,164213,0
778,1925,172493,0
779,1925,189661,1
780,1925,171320,0
781,1925,211932,0
782,1925,133013,0
783,1925,197760,1
784,1925,172000,0
785,1925,150973,0
786,1925,154107,0
787,1925,188640,0
788,1925,284735,0
789,1925,145573,0
790,1925,144413,0
791,1925,163920,0
792,1925,166387,0
793,1925,139480,0
794,1925,172840,0
795,1925,173747,0
796,1925,158493,0
797,1925,125107,0
798,1925,207911,0
799,1925,196827,0
800,1925,185973,0
801,1925,146907,0
802,1925,143693,0
803,1925,172339,0
804,1925,184320,0
805,1925,183133,1
806,1926,237773,49
807,1926,183560,45
808,1926,158427,28
809,1926,209133,27
810,1926,184053,24
811,1926,189427,19
812,1926,185693,21
813,1926,183960,22
814,1926,175293,21
815,1926,194880,19
816,1926,199645,21
817,1926,186200,16
818,1926,188907,23
819,1926,165573,16
820,1926,198520,17
821,1926,190400,15
822,1926,187600,16
823,1926,136413,13
824,1926,180320,15
825,1926,166707,13
826,1926,197867,13
827,1926,176653,12
828,1926,167800,12
829,1926,189520,11
830,1926,185693,12
831,1926,210040,11
832,1926,171760,13
833,1926,178364,12
834,1926,195173,11
835,1926,192360,11
836,1926,173920,11
837,1926,177227,11
838,1926,192707,10
839,1926,197013,10
840,1926,176040,11
841,1926,176173,9
842,1926,171120,9
843,1926,171040,9
844,1926,81000,7
845,1926,164600,9
846,1926,178573,8
847,1926,272744,22
848,1926,188067,9
849,1926,201347,8
850,1926,192720,8
851,1926,186813,11
852,1926,151493,8
853,1926,51149,7
854,1926,182773,10
855,1926,192640,9
856,1926,179520,7
857,1926,158507,7
858,1926,198533,8
859,1926,192333,7
860,1926,197293,7
861,1926,183493,8
862,1926,179667,9
863,1926,181067,11
864,1926,179787,7
865,1926,202267,7
866,1926,156320,7
867,1926,190213,7
868,1926,192560,10
869,1926,186240,7
870,1926,150160,8
871,1926,182333,8
872,1926,175267,8
873,1926,184920,7
874,1926,169920,7
875,1926,155547,7
876,1926,162760,10
877,1926,192360,7
878,1926,204040,9
879,1926,172760,8
880,1926,182733,9
881,1926,175827,7
882,1926,161867,6
883,1926,160693,7
884,1926,201893,6
885,1926,182493,8
886,1926,189333,9
887,1926,124613,6
888,1926,186067,7
889,1926,188040,7
890,1926,191147,8
891,1926,157133,6
892,1926,195800,8
893,1926,207440,7
894,1926,166733,6
895,1926,188973,7
896,1926,182787,6
897,1926,207507,6
898,1926,262653,6
899,1926,171440,10
900,1926,183600,6
901,1926,191693,6
902,1926,169493,6
903,1926,160693,6
904,1926,186067,7
905,1926,180000,10
906,1926,194973,7
907,1926,191800,5
908,1926,178027,6
909,1926,202227,6
910,1926,174335,8
911,1926,182533,6
912,1926,186747,6
913,1926,194493,7
914,1926,180893,6
915,1926,156107,5
916,1926,181093,7
917,1926,184000,6
