,SongID,duration,popularity,year,duration_sec
328,SelahKanye West,164619.0,77.0,2019,164.619
329,Rearview TownJason Aldean,184173.0,65.0,2019,184.173
331,Babushka BoiA$AP Rocky,187105.0,78.0,2019,187.105
332,Summer DaysMartin Garrix Featuring Macklemore & Patrick Stump,163804.0,84.0,2019,163.804
333,I Don't CareEd Sheeran & Justin Bieber,219946.0,90.0,2019,219.946
335,Stretch You OutSummer Walker Featuring A Boogie Wit da Hoodie,143493.0,75.0,2019,143.493
336,LegendsJuice WRLD,191840.0,87.0,2018,191.84
338,Start Wit MeRoddy Ricch & Gunna,158691.0,81.0,2019,158.691
339,UnoAmbjaay,109090.0,76.0,2019,109.09
340,False GodTaylor Swift,200306.0,73.0,2019,200.306
341,Baby SitterDaBaby Featuring Offset,157693.0,80.0,2019,157.693
342,"Under The SunDreamville Featuring J. Cole, Lute & DaBaby",202040.0,79.0,2019,202.04
343,"Hot Girl SummerMegan Thee Stallion, Nicki Minaj & Ty Dolla $ign",199427.0,80.0,2019,199.427
344,"Let It Snow, Let It Snow, Let It SnowDean Martin",117146.0,86.0,2018,117.146
346,Time I'm OnYoungBoy Never Broke Again,192012.0,69.0,2019,192.012
347,TusaKarol G & Nicki Minaj,200960.0,97.0,2019,200.96
348,Someone You LovedLewis Capaldi,182160.0,95.0,2019,182.16
350,PaniniLil Nas X,114893.0,85.0,2019,114.893
351,EmptyJuice WRLD,248431.0,81.0,2019,248.431
353,Ridin' RoadsDustin Lynch,205426.0,74.0,2019,205.426
354,Single AgainBig Sean,213733.0,73.0,2019,213.733
355,Closed On SundayKanye West,151873.0,79.0,2019,151.873
356,Lonely ChildYoungBoy Never Broke Again,217659.0,73.0,2019,217.659
357,ShamelessCamila Cabello,219742.0,78.0,2019,219.742
358,"No Me ConoceJhay Cortez, J Balvin & Bad Bunny",307546.0,85.0,2019,307.546
359,What If I Never Get Over YouLady Antebellum,206597.0,74.0,2019,206.597
361,Let Me Know (I Wonder Why Freestyle)Juice WRLD,215380.0,85.0,2019,215.38
362,God IsKanye West,104591.0,87.0,2019,104.591
364,GIRLMaren Morris,250653.0,71.0,2019,250.653
366,Did It AgainLil Tecca,116240.0,83.0,2019,116.24
367,Last ChristmasWham!,267160.0,88.0,2017,267.16
369,RAW SHITDaBaby Featuring Migos,216677.0,77.0,2019,216.677
370,DHLFrank Ocean,268893.0,76.0,2019,268.893
371,Lose You To Love MeSelena Gomez,206458.0,96.0,2019,206.458
372,Act UpCity Girls,158332.0,79.0,2019,158.332
374,Love You Too LateCole Swindell,204720.0,68.0,2019,204.72
375,Ballin'Mustard Featuring Roddy Ricch,180434.0,89.0,2019,180.434
376,It's Beginning To Look A Lot Like ChristmasPerry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,155933.0,85.0,2019,155.933
